"audio","audio_example","audio_meaning","image","text_example","text_example_translate","text_meaning","text_meaning_translate","transcription","word","word_translate","difficulty"
"files/01_0001.mp3","files/01_0001_example.mp3","files/01_0001_meaning.mp3","files/01_0001.jpg","The students agree they have too much homework","Студенты согласны, что у них слишком много домашней работы","To agree is to have the same opinion or belief as another person","Согласиться - значит иметь то же мнение или убеждение, что и другой человек","[əgríː]","agree","согласна",1
"files/01_0002.mp3","files/01_0002_example.mp3","files/01_0002_meaning.mp3","files/01_0002.jpg","A person should not drive a car after he or she has been drinking alcohol","Человек не должен водить машину после того, как он выпил алкоголь","Alcohol is a type of drink that can make people drunk","Алкоголь - это тип напитка, который может сделать людей пьяными","[ǽlkəhɔ̀ːl]","alcohol","алкоголь",1
"files/01_0003.mp3","files/01_0003_example.mp3","files/01_0003_meaning.mp3","files/01_0003.jpg","They arrived at school at 7 a.m","Они прибыли в школу в 7 часов утра","To arrive is to get somewhere","Приехать значит попасть куда-то","[əráiv]","arrive","прибыть",1
"files/01_0004.mp3","files/01_0004_example.mp3","files/01_0004_meaning.mp3","files/01_0004.jpg","Is your birthday in August?","У тебя день рождения в августе?","August is the eighth month of the year","Август - восьмой месяц года","[ɔ́ːgəst]","August","август",1
"files/01_0005.mp3","files/01_0005_example.mp3","files/01_0005_meaning.mp3","files/01_0005.jpg","There is a small boat on the lake","На озере есть маленькая лодка","A boat is a vehicle that moves across water","Лодка - это транспортное средство, которое движется по воде","[bout]","boat","лодка",1
"files/01_0006.mp3","files/01_0006_example.mp3","files/01_0006_meaning.mp3","files/01_0006.jpg","I ate eggs for breakfast","Я ел яйца на завтрак","Breakfast is the morning meal","Завтрак - это утренняя трапеза","[brekfəst]","breakfast","завтрак",1
"files/01_0007.mp3","files/01_0007_example.mp3","files/01_0007_meaning.mp3","files/01_0007.jpg","I brought my camera on my vacation","Я принес свою камеру в отпуск","A camera is a piece of equipment that takes pictures","Камера - это часть оборудования, которая делает снимки","[kǽmərə]","camera","камера",1
"files/01_0008.mp3","files/01_0008_example.mp3","files/01_0008_meaning.mp3","files/01_0008.jpg","The capital of the United States is Washington, D.C","Столица Соединенных Штатов - Вашингтон, округ Колумбия","A capital is a city where a country’s government is based","Столица - это город, в котором базируется правительство страны","[kæpətl]","capital","столица",1
"files/01_0009.mp3","files/01_0009_example.mp3","files/01_0009_meaning.mp3","files/01_0009.jpg","Did you catch the ball during the baseball game?","Вы поймали мяч во время игры в бейсбол?","To catch is to grab or get something","Поймать - значит схватить или получить что-то","[kætʃ]","catch","поймать",1
"files/01_0010.mp3","files/01_0010_example.mp3","files/01_0010_meaning.mp3","files/01_0010.jpg","People feed ducks at the lake","Люди кормят уток у озера","A duck is a small water bird","Утка - маленькая водяная птица","[dʌk]","duck","утка",1
"files/01_0011.mp3","files/01_0011_example.mp3","files/01_0011_meaning.mp3","files/01_0011.jpg","The woman enjoys riding her bicycle","Женщина любит кататься на велосипеде","To enjoy is to like something","Наслаждаться значит любить что-то","[indʒɔ́i]","enjoy","наслаждаться",1
"files/01_0012.mp3","files/01_0012_example.mp3","files/01_0012_meaning.mp3","files/01_0012.jpg","I will invite my friends to my birthday party","Я приглашаю своих друзей на мой день рождения","To invite is to ask someone to come to a place or event","Пригласить - это попросить кого-нибудь прийти на место или событие","[inváit]","invite","пригласить",1
"files/01_0013.mp3","files/01_0013_example.mp3","files/01_0013_meaning.mp3","files/01_0013.jpg","I love my family very much","Я очень люблю свою семью","To love is to like something or someone a lot","Любить значит любить что-то или кого-то много","[lʌv]","love","любовь",1
"files/01_0014.mp3","files/01_0014_example.mp3","files/01_0014_meaning.mp3","files/01_0014.jpg","January is the first month of the year","январь - первый месяц года","A month is one of 12 periods of time in one year","Месяц - это один из 12 периодов времени в году","[mʌnθ]","month","месяц",1
"files/01_0015.mp3","files/01_0015_example.mp3","files/01_0015_meaning.mp3","files/01_0015.jpg","They will travel to Argentina this summer","Этим летом они отправятся в Аргентину","To travel is to go to a faraway place on vacation or business","Путешествовать - это отправиться в далекое место на отдых или по делам","[trǽvəl]","travel","путешествовать",1
"files/01_0016.mp3","files/01_0016_example.mp3","files/01_0016_meaning.mp3","files/01_0016.jpg","My typical breakfast is toast and eggs","Мой типичный завтрак - тост и яйца","If something is typical, it is normal, or something that usually happens","Если что-то типичное, это нормально, или что-то, что обычно происходит","[típikəl]","typical","типичный",1
"files/01_0017.mp3","files/01_0017_example.mp3","files/01_0017_meaning.mp3","files/01_0017.jpg","She wants to visit her grandmother","Она хочет навестить свою бабушку","To visit is to go and spend time in another place or see another person","Посетить - значит пойти и провести время в другом месте или увидеть другого человека","[vízit]","visit","посещение",1
"files/01_0018.mp3","files/01_0018_example.mp3","files/01_0018_meaning.mp3","files/01_0018.jpg","Today’s weather is rainy and cloudy","Сегодня погода дождливая и облачная","Weather is the temperature and the state of the outdoors","Погода это температура и состояние на улице","[weðər]","weather","погода",1
"files/01_0019.mp3","files/01_0019_example.mp3","files/01_0019_meaning.mp3","files/01_0019.jpg","What are you doing next week?","Что ты делаешь на следующей неделе?","A week is a period of time that is seven days long","Неделя - это период времени, который длится семь дней","[wiːk]","week","неделя",1
"files/01_0020.mp3","files/01_0020_example.mp3","files/01_0020_meaning.mp3","files/01_0020.jpg","The store carried both red and white wine","В магазине было красное и белое вино","Wine is an alcoholic drink made from grapes","Вино - это алкогольный напиток из винограда","[wain]","wine","вино",1
"files/02_0021.mp3","files/02_0021_example.mp3","files/02_0021_meaning.mp3","files/02_0021.jpg","Riding in the rough water was an adventure","Езда в бурной воде была приключением","An adventure is a fun or exciting thing that you do","Приключение - это забавная или захватывающая вещь, которую ты делаешь","[ədvéntʃər]","adventure","приключение",1
"files/02_0022.mp3","files/02_0022_example.mp3","files/02_0022_meaning.mp3","files/02_0022.jpg","The boy approached his school","Мальчик приблизился к своей школе","To approach something means to move close to it","Подойти к чему-то - значит приблизиться к нему","[əpróutʃ]","approach","подходить",1
"files/02_0023.mp3","files/02_0023_example.mp3","files/02_0023_meaning.mp3","files/02_0023.jpg","The baby carefully climbed down the stairs","Малыш осторожно спускался по лестнице","Carefully means with great attention, especially to detail or safety","Осторожно означает с большим вниманием, особенно к деталям или безопасности","[kɛ́ərfəli]","carefully","внимательно",1
"files/02_0024.mp3","files/02_0024_example.mp3","files/02_0024_meaning.mp3","files/02_0024.jpg","The scientist mixed the chemicals","Ученый смешал химикаты","A chemical is something that scientists use in chemistry","Химическое вещество - это то, что ученые используют в химии","[kémikəl]","chemical","химический",1
"files/02_0025.mp3","files/02_0025_example.mp3","files/02_0025_meaning.mp3","files/02_0025.jpg","She created an igloo from blocks of snow","Она создала иглу из снежных глыб","To create means to make something new","Создать значит создать что-то новое","[kriéit]","create","создайте",1
"files/02_0026.mp3","files/02_0026_example.mp3","files/02_0026_meaning.mp3","files/02_0026.jpg","They felt a strange, evil presence as they got closer to the house","Они почувствовали странное злое присутствие, когда приблизились к дому","Evil describes something or someone bad or cruel, not good","Зло описывает что-то или кого-то плохого или жестокого, а не хорошего","[íːvəl]","evil","злой",1
"files/02_0027.mp3","files/02_0027_example.mp3","files/02_0027_meaning.mp3","files/02_0027.jpg","The student did an experiment in science class","Студент сделал эксперимент в классе науки","An experiment is a test that you do to see what will happen","Эксперимент - это тест, который вы проводите, чтобы увидеть, что произойдет","[ikspérəmənt]","experiment","эксперимент",1
"files/02_0028.mp3","files/02_0028_example.mp3","files/02_0028_meaning.mp3","files/02_0028.jpg","I killed the fly","Я убил муху","To kill someone or something is to make them die","Убить кого-то или что-то значит заставить их умереть","[kil]","kill","убийство",1
"files/02_0029.mp3","files/02_0029_example.mp3","files/02_0029_meaning.mp3","files/02_0029.jpg","My mother works in a laboratory","Моя мама работает в лаборатории","A laboratory is a room where a scientist works","Лаборатория - это комната, где работает ученый","[lǽbərətɔ̀ːri]","laboratory","лаборатория",1
